,key,year,state_abbr,state,ethnicity,percentage
332,2016CA,2016,CA,California,Asian,0.0
333,2016CA,2016,CA,California,Hispanic,0.06896551724137931
334,2016CA,2016,CA,California,Native,N/A
335,2016CA,2016,CA,California,Other,N/A
336,2016CO,2016,CO,Colorado,Black,0.0
337,2016CO,2016,CO,Colorado,White,0.058823529411764705
338,2016CO,2016,CO,Colorado,Asian,N/A
339,2016CO,2016,CO,Colorado,Hispanic,0.0
340,2016CO,2016,CO,Colorado,Native,N/A
341,2016CO,2016,CO,Colorado,Other,N/A
342,2016CT,2016,CT,Connecticut,Black,N/A
343,2016CT,2016,CT,Connecticut,White,0.0
344,2016CT,2016,CT,Connecticut,Asian,N/A
345,2016CT,2016,CT,Connecticut,Hispanic,0.0
346,2016CT,2016,CT,Connecticut,Native,N/A
347,2016CT,2016,CT,Connecticut,Other,N/A
348,2016DC,2016,DC,District of Columbia,Black,0.0
349,2016DC,2016,DC,District of Columbia,White,N/A
350,2016DC,2016,DC,District of Columbia,Asian,N/A
351,2016DC,2016,DC,District of Columbia,Hispanic,N/A
352,2016DC,2016,DC,District of Columbia,Native,N/A
353,2016DC,2016,DC,District of Columbia,Other,N/A
354,2016DE,2016,DE,Delaware,Black,N/A
355,2016DE,2016,DE,Delaware,White,0.0
356,2016DE,2016,DE,Delaware,Asian,N/A
357,2016DE,2016,DE,Delaware,Hispanic,N/A
358,2016DE,2016,DE,Delaware,Native,N/A
359,2016DE,2016,DE,Delaware,Other,N/A
360,2016FL,2016,FL,Florida,Black,0.1875
361,2016FL,2016,FL,Florida,White,0.0
362,2016FL,2016,FL,Florida,Asian,0.0
363,2016FL,2016,FL,Florida,Hispanic,0.0
364,2016FL,2016,FL,Florida,Native,N/A
365,2016FL,2016,FL,Florida,Other,0.0
366,2016GA,2016,GA,Georgia,Black,0.2
367,2016GA,2016,GA,Georgia,White,0.0
368,2016GA,2016,GA,Georgia,Asian,0.0
