manner_of_death,armed,age,gender,race,city,state,flee,body_camera,arms_category,year
shot,gun,41,M,White,Aberdeen,WA,Foot,FALSE,Guns,2019
shot,gun and knife,47,M,Hispanic,Phoenix,AZ,Not fleeing,FALSE,Multiple,2019
shot,knife,26,M,Black,Wellington,UT,Not fleeing,TRUE,Sharp objects,2019
shot,gun,20,M,White,Burlington,IA,Foot,FALSE,Guns,2019
shot,gun,18,M,Black,Columbus,OH,Car,FALSE,Guns,2019
shot,gun,37.1179309,M,Black,Houston,TX,Foot,FALSE,Guns,2019
shot,unknown,29,M,White,Independence,MO,Other,FALSE,Unknown,2019
shot,piece of wood,35,M,Hispanic,Santa Clarita,CA,Not fleeing,FALSE,Other unusual objects,2019
shot,gun,77,M,White,Loyal,WI,Not fleeing,FALSE,Guns,2019
shot,toy weapon,31,M,Black,Arlington,TX,Not fleeing,TRUE,Other unusual objects,2019
shot,unarmed,54,M,Black,Baton Rouge,LA,Not fleeing,FALSE,Unarmed,2019
shot,gun,33,M,Hispanic,Plainview,TX,Not fleeing,FALSE,Guns,2019
shot,gun,76,M,White,Ooltewah,TN,Not fleeing,FALSE,Guns,2019
shot,knife,28,M,White,Oklahoma City,OK,Not fleeing,TRUE,Sharp objects,2019
shot,knife,31,M,Black,St. Paul,MN,Not fleeing,TRUE,Sharp objects,2019
shot,gun,53,M,Black,Washington,DC,Not fleeing,FALSE,Guns,2019
shot,gun,33,M,White,Elizabethon,TN,Foot,FALSE,Guns,2019
shot,gun,37,M,White,Sanger,TX,Foot,FALSE,Guns,2019
shot,hatchet,57,F,White,Richmond,VA,Not fleeing,TRUE,Blunt instruments,2019
shot,samurai sword,36,M,White,Oceanside,NY,Not fleeing,FALSE,Sharp objects,2019
shot and Tasered,gun,39,M,Black,New York,NY,Foot,TRUE,Guns,2019
shot,gun,43,M,White,Salem,OR,Not fleeing,FALSE,Guns,2019
shot,gun,44,M,White,Tallahassee,FL,Not fleeing,FALSE,Guns,2019
shot,gun,33,M,Black,Memphis,TN,Not fleeing,FALSE,Guns,2019
shot and Tasered,knife,49,M,Black,Wilkinsburg,PA,Not fleeing,FALSE,Sharp objects,2019
shot,pellet gun,18,M,Black,Long Beach,CA,Not fleeing,FALSE,Guns,2019
